"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.535961318E1,3.250291944E-2,7.164173126E-1,-9.424865246E-2
2.538433241E1,4.600632191E-2,8.837213516E-1,-1.037571430E-1
2.540902113E1,6.663644314E-2,1.028350830E0,-1.186575890E-1
2.543370986E1,6.892257929E-2,1.014533043E0,-8.207178116E-2
2.545839858E1,1.080250740E-2,8.452939987E-1,-1.116582155E-1
2.548311781E1,-1.114243269E-2,5.908498764E-1,-3.365647793E-2
2.550777602E1,-5.414217710E-2,2.971324921E-1,-2.206540108E-2
2.553246474E1,-9.461987019E-2,-6.911277771E-2,2.349889278E-2
2.555718398E1,-1.399333179E-1,-4.118986130E-1,9.974169731E-2
2.558187270E1,-1.514387131E-1,-6.883115768E-1,1.226793528E-1
2.560653090E1,-1.618236005E-1,-8.701972961E-1,1.924461126E-1
2.563125014E1,-1.542703807E-1,-9.986104965E-1,2.072689533E-1
2.565593886E1,-1.511736512E-1,-9.498825073E-1,1.604784727E-1
2.568065810E1,-1.228177547E-1,-7.941455841E-1,1.549626589E-1
2.570534682E1,-1.155855060E-1,-5.534563065E-1,1.485022306E-1
2.573003554E1,-7.554271817E-2,-2.475948334E-1,7.484686375E-2
2.575472426E1,-4.944598675E-2,7.531356812E-2,6.107938290E-2
2.577941298E1,1.036176085E-2,4.579687119E-1,-2.687335014E-2
2.580410170E1,2.805709839E-2,6.975059509E-1,-3.762376308E-2
2.582882094E1,5.778414011E-2,9.449443817E-1,-9.516620636E-2
2.585350966E1,5.840548873E-2,1.002263069E0,-1.043614149E-1
2.587819838E1,5.668672919E-2,9.396152496E-1,-1.112414598E-1
2.590285658E1,4.187765718E-2,8.057718277E-1,-7.011866570E-2
2.592757582E1,4.842063785E-2,5.295495987E-1,-5.609059334E-2
2.595223403E1,2.950102091E-2,2.309989929E-1,-2.665829659E-2
2.597695326E1,1.041218638E-2,-9.421253204E-2,-6.629228592E-4
2.600164198E1,1.887997985E-2,-4.436426163E-1,4.800260067E-2
2.602633070E1,1.533767581E-2,-7.146387100E-1,5.987739563E-2
2.605101943E1,1.685914397E-2,-8.979492188E-1,1.186896563E-1
2.607570815E1,2.270644903E-2,-9.799938202E-1,1.147046089E-1
2.610039687E1,1.356488466E-2,-9.325590134E-1,9.417855740E-2
2.612511610E1,7.237195969E-3,-7.873916626E-1,5.929887295E-2
2.614980483E1,2.355206013E-2,-5.572538376E-1,5.125439167E-2
2.617449355E1,1.661369205E-2,-2.328720093E-1,-6.086468697E-3
2.619918227E1,6.292834878E-2,1.280002594E-1,-3.078353405E-2
2.622387099E1,7.962533832E-2,4.273052216E-1,-9.440565109E-2
2.624855971E1,1.225957870E-1,6.987686157E-1,-1.270449162E-1
2.627327895E1,1.456432641E-1,8.949365616E-1,-1.811423302E-1
2.629793715E1,1.697061658E-1,9.254875183E-1,-1.605231762E-1
2.632265639E1,1.675485969E-1,9.130725861E-1,-1.711809635E-1
2.634734511E1,1.618895829E-1,7.745704651E-1,-1.628712416E-1
2.637206435E1,1.146896780E-1,5.059480667E-1,-1.099383831E-1
2.639672255E1,1.022362709E-1,1.649961472E-1,-9.888684750E-2
2.642144179E1,6.814634800E-2,-1.668186188E-1,-4.746115208E-2
2.644613051E1,2.028587461E-2,-4.654216766E-1,2.521264553E-2
2.647081923E1,-4.539853334E-2,-7.670230865E-1,4.953646660E-2
2.649550795E1,-5.670756102E-2,-9.117259979E-1,1.013576984E-1
2.652019667E1,-6.523707509E-2,-9.742584229E-1,1.235594749E-1
2.654488539E1,-7.936868072E-2,-9.312448502E-1,1.022533178E-1
2.656957411E1,-1.255816817E-1,-7.643814087E-1,9.725308418E-2
2.659426283E1,-8.452266455E-2,-4.959144592E-1,8.982396126E-2
2.661898207E1,-5.301675200E-2,-1.642827988E-1,7.037472725E-2
2.664367079E1,-3.908506036E-2,1.847019196E-1,2.062416077E-2
2.666835951E1,2.464365959E-2,4.936180115E-1,-4.167771339E-2
2.669304823E1,2.860558033E-2,7.554016113E-1,-8.796727657E-2
2.671773695E1,7.898873091E-2,9.128379822E-1,-7.770299911E-2
2.674242568E1,8.432942629E-2,9.879970551E-1,-1.189157963E-1
2.676711440E1,3.849250078E-2,9.120101929E-1,-1.161631346E-1
