"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.636748167E1,-6.409272552E-2,6.784725189E-1,-2.251389027E-1
1.639213987E1,-7.497209311E-2,7.942237854E-1,-2.582948208E-1
1.641682859E1,-5.059343576E-2,8.834075928E-1,-2.418649197E-1
1.644151731E1,-7.013714314E-2,8.291940689E-1,-2.838127613E-1
1.646620603E1,-8.428311348E-2,7.351217270E-1,-2.501003742E-1
1.649089475E1,-4.574722052E-2,5.991010666E-1,-2.106180191E-1
1.651558348E1,-9.629446268E-2,3.998966217E-1,-2.062156200E-1
1.654027220E1,-6.159922481E-2,1.400079727E-1,-1.230428219E-1
1.656496092E1,-3.132189810E-2,-1.517190933E-1,-9.802794456E-2
1.658968016E1,-4.358556867E-2,-3.819284439E-1,-2.764558792E-2
1.661433836E1,-4.352988303E-2,-6.128196716E-1,6.662368774E-2
1.663902708E1,-3.356957436E-2,-7.298240662E-1,9.195446968E-2
1.666371580E1,-1.295986772E-2,-8.218145370E-1,1.586561203E-1
1.668840452E1,-5.661696196E-3,-8.962984085E-1,1.615040302E-1
1.671309324E1,7.614284754E-3,-8.271350861E-1,1.622505188E-1
1.673778196E1,2.055212855E-2,-7.368535995E-1,1.341052055E-1
1.676247068E1,5.462723970E-2,-5.518255234E-1,1.439068317E-1
1.678715940E1,6.212276220E-2,-3.370656967E-1,7.242131233E-2
1.681181761E1,7.389056683E-2,-1.070232391E-1,6.545925140E-2
1.683650633E1,3.271563351E-2,1.693744659E-1,6.166458130E-3
1.686119505E1,6.294359267E-2,4.153690338E-1,-2.202916145E-2
1.688588377E1,8.740520477E-2,6.525115967E-1,-4.858207703E-2
1.691057249E1,1.014907807E-1,7.852840424E-1,-8.118629456E-2
1.693526121E1,8.625237644E-2,8.738508224E-1,-1.056673527E-1
1.695994993E1,8.483390510E-2,8.922710419E-1,-9.344649315E-2
1.698463865E1,4.920029640E-2,8.267984390E-1,-4.406738281E-2
1.700932737E1,9.869462252E-2,7.114887238E-1,-1.955127716E-2
1.703401609E1,6.146098673E-2,5.299291611E-1,-1.507329941E-2
1.705870481E1,2.118334174E-2,2.943105698E-1,6.210517883E-2
1.708339353E1,5.457380414E-2,5.015468597E-2,9.874749184E-2
1.710808225E1,2.950012684E-3,-2.096853256E-1,1.639175415E-1
1.713277098E1,3.007009625E-3,-4.447946548E-1,1.905143261E-1
1.715745970E1,-3.223906457E-2,-6.047859192E-1,2.080695629E-1
1.718214842E1,-2.120389044E-2,-7.662534714E-1,2.434730530E-1
1.720683714E1,-3.832998872E-2,-8.341140747E-1,2.464597225E-1
1.723152586E1,-3.846576810E-2,-8.255348206E-1,2.244498730E-1
1.725621458E1,-4.253716767E-2,-7.624397278E-1,1.866953373E-1
1.728090330E1,-6.928555667E-2,-6.119689941E-1,1.402010918E-1
1.730556150E1,-6.621178985E-2,-4.390668869E-1,8.956718445E-2
1.733025022E1,-5.876868963E-2,-1.816997528E-1,2.853608131E-2
1.735493894E1,-5.140346289E-2,2.847957611E-2,-7.659554482E-2
1.737962766E1,-5.555209517E-2,3.041172028E-1,-1.145839691E-1
1.740431638E1,-4.249268770E-2,5.109443665E-1,-1.604146957E-1
1.742900511E1,-6.683868170E-2,6.540946960E-1,-2.189350128E-1
1.745369383E1,-6.150418520E-2,8.200712204E-1,-2.210509777E-1
1.747838255E1,-6.721690297E-2,8.415489197E-1,-2.389385700E-1
1.750307127E1,-6.547525525E-2,8.197393417E-1,-2.074332237E-1
1.752775999E1,-6.546500325E-2,7.242288589E-1,-1.591606140E-1
1.755244871E1,-7.463321090E-2,5.842533112E-1,-1.104185581E-1
1.757713743E1,-7.312455773E-2,3.833732605E-1,-1.158769131E-1
1.760182615E1,-7.272687554E-2,1.220111847E-1,-6.795263290E-2
1.762651487E1,-9.714394808E-2,-1.233291626E-1,2.581191063E-2
1.765120359E1,-1.047925055E-1,-3.240747452E-1,7.903003693E-2
1.767589231E1,-8.840963244E-2,-5.471067429E-1,9.988451004E-2
1.770058103E1,-7.901793718E-2,-7.279539108E-1,1.267266273E-1
1.772526975E1,-1.053641737E-1,-7.951002121E-1,1.631085873E-1
1.774992796E1,-1.054448187E-1,-8.540611267E-1,1.161479950E-1
1.777461668E1,-1.272189617E-1,-8.024568558E-1,1.101944447E-1
1.779930540E1,-1.544319987E-1,-7.150001526E-1,5.132222176E-2
1.782399412E1,-1.134701967E-1,-5.155401230E-1,-1.003193855E-2
1.784871336E1,-1.078089178E-1,-3.121995926E-1,-8.393025398E-2
1.787337156E1,-1.257652342E-1,-1.098756790E-1,-1.584665775E-1
1.789806028E1,-1.179904938E-1,9.854602814E-2,-2.289035320E-1
1.792274900E1,-8.892554045E-2,3.752489090E-1,-2.782418728E-1
1.794743772E1,-7.745343447E-2,5.480489731E-1,-3.185946941E-1
1.797212644E1,-6.861990690E-2,6.865301132E-1,-3.606712818E-1
1.799681516E1,-5.246043205E-2,7.813310623E-1,-3.758211136E-1
1.802150388E1,-6.260910630E-2,7.824106216E-1,-3.454658985E-1
1.804619261E1,-4.342204332E-2,7.383079529E-1,-3.412144184E-1
1.807088133E1,-3.830468655E-2,6.039047241E-1,-2.195587158E-1
1.809557005E1,-4.225769639E-2,4.539594650E-1,-1.426684856E-1
1.812025877E1,-2.434512973E-2,2.267065048E-1,-9.117817879E-2
1.814494749E1,-4.961089790E-2,-1.560974121E-2,1.143670082E-2
1.816963621E1,-3.928841650E-2,-2.298917770E-1,5.450296402E-2
1.819432493E1,-3.198452294E-2,-4.545631409E-1,1.671791077E-1
1.821898313E1,-8.666619658E-3,-5.988092422E-1,2.180237770E-1
1.824367185E1,-3.390794992E-2,-7.490806580E-1,2.933681011E-1
1.826836058E1,9.818539023E-3,-7.978105545E-1,2.836201191E-1
1.829304930E1,9.860903025E-3,-7.503948212E-1,2.990987301E-1
1.831773802E1,3.819599748E-2,-6.743764877E-1,2.746865749E-1
1.834242674E1,6.704802811E-2,-5.676612854E-1,2.009856701E-1
1.836711546E1,3.899046779E-2,-3.543357849E-1,1.659343243E-1
1.839180418E1,5.226841569E-2,-1.590614319E-1,8.815217018E-2
1.841649290E1,6.812661886E-2,6.828880310E-2,1.017189026E-2
1.844118162E1,7.937508821E-2,2.940587997E-1,-7.761764526E-2
1.846587034E1,4.708786309E-2,5.039291382E-1,-1.060576439E-1
1.849055906E1,6.642322242E-2,6.549453735E-1,-1.688518524E-1
1.851524778E1,5.803029984E-2,7.664327621E-1,-1.949477196E-1
1.853993650E1,3.060968965E-2,8.146095276E-1,-2.188317776E-1
1.856462522E1,1.044657081E-2,7.831277847E-1,-1.852276325E-1
1.858931394E1,1.434095204E-2,6.843862534E-1,-1.404275894E-1
1.861400266E1,2.281811833E-2,5.521802902E-1,-1.008179188E-1
1.863866087E1,4.837535322E-3,3.559532166E-1,-6.598925591E-2
1.866334959E1,-7.140398026E-3,1.153488159E-1,2.562880516E-2
1.868803831E1,-3.023496270E-2,-1.059217453E-1,8.367466927E-2
1.871272703E1,-5.493262410E-2,-3.307132721E-1,2.377951145E-1
1.873741575E1,-2.543590963E-2,-5.044679642E-1,2.364330292E-1
1.876210447E1,-2.354416251E-2,-6.870756149E-1,2.786257267E-1
1.878679319E1,-4.660424590E-2,-7.424373627E-1,3.241128922E-1
1.881148191E1,-4.911817610E-2,-7.569923401E-1,3.158714771E-1
1.883617063E1,-6.471696496E-2,-7.335519791E-1,3.475229740E-1
1.886085935E1,-4.039399326E-2,-6.078433990E-1,2.374696732E-1
1.888554808E1,-6.725412607E-2,-4.114561081E-1,2.179164886E-1
1.891023680E1,-5.382791162E-2,-2.354326248E-1,1.166458130E-1
1.893492552E1,-6.887760758E-2,-5.366706848E-2,7.528233528E-2
1.895961424E1,-4.267653823E-2,1.960868835E-1,-2.821564674E-2
