"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,3.413188457E-1,-2.763738632E-1,-1.656271935E0
2.468872100E-2,5.299029350E-1,-4.070472717E-1,-2.153729439E0
4.940795900E-2,3.839473724E-1,-3.003642559E-1,-1.561642647E0
7.406616300E-2,2.493243217E-1,-1.363391876E-1,-3.702621460E-1
9.875488300E-2,2.836179733E-2,2.212247849E-1,1.108847618E0
1.234436040E-1,-3.973674774E-1,7.531714439E-1,2.860405922E0
1.481323250E-1,-6.666328907E-1,1.275004864E0,4.275400162E0
1.728210450E-1,-1.120661497E0,1.841413498E0,5.729429245E0
1.975097660E-1,-1.499957800E0,2.229428291E0,6.995634079E0
2.221984870E-1,-1.678656340E0,2.392293215E0,7.675984383E0
2.468872080E-1,-1.587757826E0,2.216530085E0,7.670981407E0
2.715759280E-1,-1.324257135E0,1.914237261E0,7.279829979E0
2.962646490E-1,-9.305335283E-1,1.306045294E0,6.239438057E0
3.209533700E-1,-4.102567434E-1,6.129100323E-1,4.700339317E0
3.456420900E-1,5.631780624E-2,-2.535986900E-2,3.010149002E0
3.703308110E-1,3.529722691E-1,-5.430138111E-1,1.142293930E0
3.950195320E-1,7.741276026E-1,-9.998155832E-1,-9.198541641E-1
4.197082520E-1,1.258697033E0,-1.136474848E0,-3.043947220E0
4.443969730E-1,1.581495523E0,-1.297506452E0,-4.668407440E0
4.690856940E-1,1.788926840E0,-1.392018080E0,-5.497787476E0
4.937744150E-1,1.721589804E0,-1.241924524E0,-5.020437241E0
5.184631350E-1,1.370603323E0,-1.170932174E0,-3.519485474E0
5.431518560E-1,9.931368828E-1,-8.197219372E-1,-1.550882339E0
5.678405770E-1,5.204163790E-1,-4.339151382E-1,4.412250519E-1
5.925598150E-1,1.264033318E-1,1.044819355E-1,2.100216866E0
6.172180180E-1,-2.694904804E-1,8.162250519E-1,3.539462090E0
6.419067390E-1,-7.849423885E-1,1.445677519E0,4.768035889E0
6.666259770E-1,-1.183660030E0,1.919411659E0,5.608391762E0
6.913146980E-1,-1.383027315E0,2.211716175E0,5.924187660E0
7.159729010E-1,-1.362854958E0,2.228787899E0,5.567321777E0
7.406616220E-1,-1.075712204E0,1.962531567E0,4.626813889E0
7.653503420E-1,-6.209384203E-1,1.439081907E0,3.263111115E0
7.900390630E-1,-1.937175989E-1,7.976176739E-1,1.560011864E0
8.147583010E-1,2.319892645E-1,2.556509972E-1,-2.565174103E-1
8.394165040E-1,6.012723446E-1,-2.929620743E-1,-2.125408173E0
8.641052250E-1,1.032387495E0,-6.569814682E-1,-3.957099915E0
8.887939460E-1,1.356366158E0,-7.840394974E-1,-5.393614769E0
9.135131840E-1,1.484556913E0,-8.641796112E-1,-6.214839935E0
9.382019050E-1,1.358550549E0,-6.717140675E-1,-5.853155136E0
9.628906250E-1,1.024311543E0,-4.584677219E-1,-4.372173309E0
9.875488290E-1,5.283336639E-1,-1.432943344E-1,-2.308165550E0
1.012268067E0,1.544857025E-2,2.797055244E-1,-4.963684082E-2
1.036956788E0,-4.012622833E-1,6.437885761E-1,1.934825897E0
1.061614991E0,-7.680909634E-1,1.040782928E0,3.526479721E0
1.086334229E0,-1.091545105E0,1.482366085E0,4.772909164E0
1.111022950E0,-1.373185396E0,1.746156454E0,5.474520683E0
1.135711670E0,-1.564317465E0,1.930496454E0,5.742774963E0
1.160400391E0,-1.542515278E0,1.861092091E0,5.394505501E0
1.185089112E0,-1.311680079E0,1.631255150E0,4.488890648E0
1.209777833E0,-8.695302010E-1,1.106365919E0,2.952000618E0
1.234466553E0,-3.700468540E-1,4.255969524E-1,1.174653053E0
1.259155274E0,8.379459381E-2,-2.134392262E-1,-6.318054199E-1
1.283843995E0,6.291892529E-1,-8.146455288E-1,-2.544912338E0
1.308532715E0,9.965963364E-1,-1.256806850E0,-4.172530174E0
1.333221436E0,1.318720102E0,-1.461097240E0,-5.270972252E0
1.357910157E0,1.473114491E0,-1.524193764E0,-5.775578499E0
1.382598877E0,1.368562937E0,-1.361401558E0,-5.271265030E0
1.407287598E0,1.134212494E0,-1.127366185E0,-4.045143127E0
1.431976319E0,7.215740681E-1,-8.373064995E-1,-2.160541534E0
1.456665040E0,2.493727207E-1,-4.101966619E-1,1.164722443E-2
1.481353760E0,-1.314809322E-1,-4.190683365E-2,1.957021713E0
1.506042481E0,-4.797074795E-1,2.842581272E-1,3.654516220E0
1.530731202E0,-7.816220522E-1,6.297074556E-1,5.050811768E0
1.555419922E0,-9.491112232E-1,9.185965061E-1,5.861042023E0
1.580108643E0,-9.588081837E-1,1.019880056E0,6.127778053E0
1.604797364E0,-8.797301054E-1,1.012432337E0,5.869653702E0
1.629486084E0,-6.573915482E-1,8.938636780E-1,4.988861084E0
1.654174805E0,-3.453390598E-1,5.963859558E-1,3.604944229E0
1.678863526E0,2.428221703E-2,1.584842205E-1,1.822587013E0
1.703552247E0,3.957238197E-1,-3.296337128E-1,-1.292867661E-1
1.728240967E0,8.815264702E-1,-7.371289730E-1,-2.300127983E0
1.752929688E0,1.302071333E0,-1.142516375E0,-4.268244743E0
1.777618409E0,1.574841738E0,-1.339630842E0,-5.513303757E0
1.802307129E0,1.731438875E0,-1.413966894E0,-6.071981430E0
1.826995850E0,1.540251970E0,-1.292377234E0,-5.418005943E0
1.851684571E0,1.167194843E0,-9.796504974E-1,-4.043797493E0
1.876373291E0,8.123579025E-1,-6.218147278E-1,-2.357893944E0
1.901062012E0,2.530021667E-1,-1.665329933E-1,-3.908214569E-1
1.925750733E0,-1.597356796E-1,3.318486214E-1,1.245372772E0
1.950439454E0,-6.729769707E-1,8.119566441E-1,2.798681259E0
1.975128174E0,-1.075445890E0,1.174443245E0,4.215438843E0
1.999816895E0,-1.363396645E0,1.415371180E0,5.101253510E0
2.024505616E0,-1.475740671E0,1.496922016E0,5.416077614E0
2.049194336E0,-1.405357599E0,1.446111202E0,5.201337814E0
2.073883057E0,-1.222344875E0,1.243861437E0,4.493981361E0
2.098571778E0,-8.888888359E-1,8.816654682E-1,3.235197067E0
2.123260499E0,-5.707986355E-1,5.301930904E-1,1.645165443E0
2.147949219E0,-1.947708130E-1,1.261835098E-1,-1.945152283E-1
2.172637940E0,2.372925282E-1,-3.198735714E-1,-2.255009651E0
2.197326661E0,6.603572369E-1,-6.575567722E-1,-4.160408020E0
2.222015381E0,9.585871696E-1,-9.379696846E-1,-5.540791512E0
2.246704102E0,1.138618469E0,-1.090561152E0,-6.145751953E0
2.271392823E0,1.071425915E0,-1.053120375E0,-5.559051514E0
2.296081543E0,7.489821911E-1,-8.663427830E-1,-4.257487297E0
2.320770264E0,4.248499870E-1,-5.101375580E-1,-2.547194481E0
2.345458985E0,-4.559469223E-2,-9.739899635E-2,-6.018877029E-1
2.370147706E0,-3.992128372E-1,3.659963608E-1,1.043959618E0
2.394836426E0,-7.813363075E-1,7.839486599E-1,2.522056580E0
2.419525147E0,-1.107411146E0,1.095706940E0,3.815363884E0
2.444213868E0,-1.272003174E0,1.196613073E0,4.625644684E0
2.468902588E0,-1.271092415E0,1.145413637E0,4.959322929E0
2.493591309E0,-1.106330156E0,9.774255753E-1,4.794497490E0
2.518280030E0,-8.224893808E-1,6.660771370E-1,4.224926949E0
2.542968750E0,-4.066609144E-1,2.985804081E-1,3.183816910E0
2.567657471E0,-2.948117256E-2,-9.507286549E-2,1.814519882E0
2.592346192E0,3.199012280E-1,-4.017175436E-1,2.661485672E-1
2.617034913E0,7.217769623E-1,-7.203260660E-1,-1.452988625E0
2.641723633E0,1.124401808E0,-9.978145361E-1,-3.122627258E0
2.666412354E0,1.398468256E0,-1.188161254E0,-4.368272781E0
2.691101075E0,1.578620195E0,-1.341525078E0,-5.038422585E0
2.715789795E0,1.504122496E0,-1.281832933E0,-4.647942543E0
2.740478516E0,1.237312078E0,-1.153572083E0,-3.461678505E0
2.765167237E0,9.495997429E-1,-8.470554352E-1,-1.947999954E0
2.789855958E0,5.558904409E-1,-4.004960060E-1,-1.649074554E-1
2.814544678E0,1.759771109E-1,1.563043594E-1,1.382554054E0
2.839233399E0,-1.610891819E-1,6.469271183E-1,2.772432327E0
2.863922120E0,-5.362684727E-1,1.048645020E0,3.829839706E0
2.888610840E0,-7.582095861E-1,1.265351772E0,4.442984581E0
2.913299561E0,-8.460569382E-1,1.317258358E0,4.572197914E0
2.937988282E0,-8.315999508E-1,1.182294846E0,4.276355743E0
2.962677002E0,-6.334562302E-1,9.012339115E-1,3.477264404E0
2.987365723E0,-3.895916939E-1,5.899927616E-1,2.446053505E0
3.012054444E0,-6.582701206E-2,2.532429695E-1,1.062774658E0
3.036743165E0,2.449724674E-1,-8.418822289E-2,-4.604721069E-1
3.061431885E0,5.725090504E-1,-3.369457722E-1,-2.002986908E0
3.086120606E0,8.908176422E-1,-5.549964905E-1,-3.436040878E0
3.110839844E0,1.079402447E0,-6.850392818E-1,-4.452639580E0
3.135498047E0,1.118026972E0,-7.263646126E-1,-4.755898476E0
3.160186768E0,9.977781773E-1,-6.693739891E-1,-4.311380386E0
3.184875489E0,7.341306210E-1,-4.566047192E-1,-3.249163628E0
3.209594727E0,4.020314217E-1,-2.142188549E-1,-1.834589958E0
3.234252930E0,3.775119781E-2,1.750512123E-1,-3.763036728E-1
3.258972168E0,-3.452398777E-1,6.893730164E-1,1.111268997E0
3.283660889E0,-6.615974903E-1,1.142118692E0,2.385532379E0
3.308349610E0,-9.394564629E-1,1.499563217E0,3.377982140E0
3.333038331E0,-1.119130373E0,1.684983969E0,3.880489349E0
3.357727051E0,-1.141714573E0,1.689157963E0,4.036899567E0
3.382415772E0,-1.026302099E0,1.491116047E0,3.607061386E0
3.407104493E0,-8.201301098E-1,1.097836018E0,2.774652481E0
3.431793213E0,-5.037846565E-1,6.398906708E-1,1.669626236E0
3.456481934E0,-1.335778236E-1,1.613540649E-1,3.422231674E-1
3.481140137E0,2.155835629E-1,-2.343397141E-1,-1.074513435E0
3.505859375E0,5.378408432E-1,-5.614259243E-1,-2.395177841E0
3.530517579E0,8.024880886E-1,-7.941181660E-1,-3.568595886E0
3.555236817E0,1.008666039E0,-8.840947151E-1,-4.259967804E0
3.579925538E0,1.052535057E0,-9.134665728E-1,-4.253830910E0
3.604614258E0,9.729871750E-1,-8.571088314E-1,-3.598531723E0
3.629302979E0,7.060022354E-1,-6.557521820E-1,-2.366116524E0
3.653991700E0,3.910517693E-1,-4.488065243E-1,-9.593267441E-1
3.678680420E0,1.155138016E-1,-1.517248154E-1,4.659547806E-1
3.703369141E0,-1.653629541E-1,1.950571537E-1,1.851156235E0
3.728057862E0,-4.411323071E-1,5.219612122E-1,2.959680557E0
3.752746583E0,-6.606876850E-1,8.163621426E-1,3.775320053E0
3.777435303E0,-7.460442781E-1,9.590334892E-1,4.199646950E0
3.802124024E0,-7.090723515E-1,1.027612925E0,4.249309540E0
